1; 1;8548;5
2; 2;8548;6
3; 3;12689;5
50; 50;32791;4
50; 50;32791;5
50; 50;32791;6
4; 4;34407;6
1; 1;37253;4
1; 1;40910;5
1; 1;40910;6
1; 1;41278;5
14; 14;46936;4
1; 1;47092;4
2; 2;47092;5
1; 1;64129;5
4; 4;65825;4
8; 8;68863;5
1; 1;71475;6
1; 1;72511;4
2; 2;72909;6
2; 2;78933;5
3; 3;85625;5
3; 3;90322;6
3; 3;95391;6
2; 2;98464;4
2; 2;105168;6
2; 2;108821;5
1; 1;109814;6
1; 1;110841;5
1; 1;110841;6
2; 2;112851;6
5; 5;114322;6
11; 11;115567;6
4; 4;115630;5
2; 2;134638;4
4; 4;136293;6
3; 3;165274;4
3; 3;165983;6
3; 3;168130;5
3; 3;168187;6
3; 3;182839;4
1; 1;200379;4
1; 1;200379;5
1; 1;211422;5
1; 1;212195;6
3; 3;258274;4
6; 6;258787;4
3; 3;404013;6
1; 1;411263;5
1; 1;411263;6
3; 3;411326;6
1; 1;411785;6
1; 1;411974;4
1; 1;411987;6
3; 3;424320;4
1; 1;424730;4
1; 1;424730;6
3; 3;424760;4
3; 3;424778;4
1; 1;424790;4
1; 1;424790;6
1; 1;424795;6
1; 1;424922;6
1; 1;424996;4
3; 3;424996;6
1; 1;425012;6
1; 1;425033;6
1; 1;425217;4
1; 1;425217;5
1; 1;425217;6
1; 1;425442;6
2; 2;426067;6
2; 2;426315;6
2; 2;426686;4
2; 2;427488;6
1; 1;427667;4
1; 1;427717;5
3; 3;428450;5
3; 3;431077;4
3; 3;431335;4
3; 3;432206;6
2; 2;432615;4
1; 1;432707;4
2; 2;432797;6
2; 2;433080;6
1; 1;433086;4
1; 1;433090;4
2; 2;433090;6
3; 3;433382;4
3; 3;433442;4
2; 2;433660;5
1; 1;437704;4
1; 1;437704;6
1; 1;437829;5
1; 1;437829;6
3; 3;437921;6
1; 1;437927;5
2; 2;438057;6
1; 1;438103;6
1; 1;438153;5
1; 1;438249;4
2; 2;438413;5
3; 3;438413;6
2; 2;439714;6
1; 1;439826;6
2; 2;439892;5
1; 1;440009;5
1; 1;440027;5
2; 2;440027;6
1; 1;440132;4
1; 1;440132;5
1; 1;440132;6
1; 1;440216;5
1; 1;440218;4
1; 1;440272;6
2; 2;440525;4
1; 1;440582;6
1; 1;440757;4
1; 1;440757;5
3; 3;440757;6
1; 1;441526;4
1; 1;441526;5
5; 5;441907;6
1; 1;442110;6
1; 1;442565;4
1; 1;442565;5
1; 1;442600;4
1; 1;442600;5
